Width,Height,Count
1275,2000,4
1261,2000,1
1443,2000,8
1523,2000,3
1319,2000,26
1296,2000,12
1298,2000,15
1293,2000,10
1463,2000,6
1575,2000,1
1364,2000,33
1292,2000,10
1415,2000,6
1200,2000,1
1257,2000,3
1452,2000,20
1557,2000,2
1447,2000,6
1229,2000,1
1441,2000,8
1314,2000,18
1326,2000,61
1371,2000,25
1408,2000,5
1439,2000,11
1362,2000,52
1377,2000,34
1301,2000,12
1184,2000,1
1454,2000,5
1433,2000,6
1458,2000,7
1566,2000,3
1310,2000,14
1495,2000,4
1543,2000,3
1299,2000,13
1502,2000,2
1491,2000,8
1279,2000,11
1280,2000,2
1466,2000,5
1332,2000,41
1392,2000,9
1412,2000,4
1425,2000,4
1339,2000,44
1249,2000,2
1303,2000,10
1559,2000,2
1562,2000,1
1501,2000,2
1158,2000,1
1444,2000,5
1352,2000,41
1335,2000,16
1500,2000,3
1541,2000,2
1221,2000,1
1186,2000,1
1350,2000,39
1587,2000,1
1125,2000,6
1450,2000,7
1426,2000,3
1503,2000,5
1527,2000,1
1494,2000,3
1489,2000,5
1515,2000,3
1259,2000,1
1312,2000,12
1164,2000,3
1091,2000,1
1356,2000,39
1390,2000,20
1269,2000,5
1233,2000,1
1320,2000,22
1168,2000,2
1406,2000,2
1479,2000,4
1492,2000,2
1497,2000,3
1567,2000,3
1484,2000,12
1272,2000,6
1457,2000,12
1241,2000,4
1271,2000,3
1266,2000,2
1236,2000,1
1336,2000,44
1344,2000,46
1459,2000,8
1521,2000,3
1421,2000,4
1354,2000,64
1313,2000,20
1568,2000,1
1216,2000,1
1180,2000,2
1383,2000,42
1302,2000,13
1324,2000,30
1538,2000,1
1317,2000,25
1493,2000,2
1462,2000,9
1445,2000,13
1357,2000,71
1240,2000,3
1308,2000,10
1353,2000,51
1448,2000,13
1287,2000,9
1507,2000,3
1429,2000,6
1231,2000,2
1453,2000,6
1487,2000,2
1397,2000,11
1404,2000,9
1311,2000,42
1270,2000,7
1506,2000,3
1436,2000,10
1290,2000,9
1348,2000,209
1427,2000,3
1522,2000,1
1327,2000,23
1544,2000,4
1044,2000,3
1373,2000,28
1367,2000,25
1329,2000,34
1440,2000,8
1389,2000,11
1478,2000,9
1393,2000,11
1328,2000,40
1585,2000,1
1396,2000,11
1341,2000,44
1255,2000,3
1428,2000,4
1554,2000,1
1476,2000,6
1490,2000,2
1438,2000,8
1151,2000,1
1434,2000,6
1114,2000,1
1306,2000,7
1535,2000,1
1286,2000,9
1349,2000,54
1564,2000,2
1337,2000,48
1297,2000,16
1323,2000,21
1486,2000,5
1331,2000,21
1517,2000,3
1374,2000,24
1358,2000,41
1483,2000,5
1307,2000,27
1410,2000,3
1278,2000,4
1322,2000,36
1488,2000,5
1546,2000,2
1417,2000,4
1380,2000,20
1504,2000,3
1361,2000,80
1325,2000,25
1170,2000,1
1499,2000,1
1424,2000,6
1268,2000,2
1496,2000,2
1456,2000,5
1283,2000,7
1363,2000,44
1508,2000,1
1464,2000,8
1395,2000,27
1446,2000,20
1526,2000,4
1288,2000,12
1451,2000,7
1281,2000,7
1305,2000,10
1472,2000,9
1482,2000,3
1582,2000,1
1304,2000,6
1276,2000,1
1172,2000,2
1437,2000,7
1394,2000,10
1542,2000,1
1401,2000,8
1475,2000,10
1473,2000,8
1430,2000,7
1376,2000,26
1263,2000,2
1262,2000,2
1175,2000,1
1514,2000,4
1260,2000,3
1555,2000,1
1594,2000,1
1366,2000,34
1384,2000,17
1333,2000,38
1258,2000,5
1414,2000,3
1321,2000,32
1285,2000,8
1316,2000,15
1405,2000,4
1379,2000,34
1382,2000,34
1179,2000,1
1461,2000,10
1552,2000,2
1413,2000,2
1171,2000,2
1318,2000,100
1469,2000,12
1289,2000,7
1295,2000,11
1391,2000,12
1485,2000,5
1239,2000,3
1449,2000,3
1342,2000,147
1388,2000,24
1386,2000,17
1359,2000,30
1558,2000,1
1338,2000,38
1315,2000,25
1159,2000,1
1214,2000,2
1398,2000,5
1185,2000,1
1355,2000,33
1340,2000,61
1217,2000,1
1539,2000,1
1228,2000,2
1330,2000,58
1467,2000,11
1135,2000,2
1516,2000,7
1242,2000,3
1460,2000,8
1368,2000,21
1435,2000,7
1422,2000,5
1273,2000,1
1549,2000,2
1530,2000,4
1518,2000,2
1284,2000,6
1423,2000,2
1369,2000,32
1203,2000,1
1223,2000,1
1378,2000,42
1550,2000,2
1477,2000,5
1399,2000,7
1381,2000,25
1474,2000,4
1291,2000,8
1468,2000,11
1360,2000,26
1251,2000,3
1510,2000,3
1294,2000,10
1234,2000,1
1165,2000,1
1253,2000,3
1334,2000,33
1545,2000,3
1519,2000,2
1254,2000,1
1120,2000,1
1385,2000,16
1343,2000,50
1403,2000,2
1224,2000,1
1274,2000,2
1470,2000,12
1547,2000,1
1372,2000,31
1387,2000,9
1548,2000,2
1375,2000,35
1256,2000,1
1481,2000,4
1189,2000,1
1400,2000,5
1345,2000,76
1155,2000,1
1346,2000,63
1583,2000,1
1282,2000,7
1088,2000,1
1432,2000,4
1442,2000,4
1553,2000,1
1370,2000,31
1420,2000,3
1309,2000,15
1565,2000,2
1520,2000,4
1409,2000,3
1365,2000,26
1465,2000,8
1267,2000,4
1247,2000,2
1471,2000,2
1235,2000,1
1148,2000,1
1418,2000,1
1419,2000,4
1498,2000,2
1347,2000,161
1511,2000,3
1537,2000,2
1265,2000,3
1411,2000,9
1402,2000,9
1300,2000,12
1431,2000,7
1416,2000,6
1248,2000,4
1138,2000,5
1407,2000,8
1455,2000,11
1264,2000,3
1351,2000,47
1480,2000,3
1277,2000,5
1198,2000,1
1244,2000,4
